org_id	latin_name	ncbi_id
ORGANOSULFUR	an organosulfur compound	
TAX-1	root	1
TAX-1117	Cyanobacteriota	1117
TAX-1224	Pseudomonadota	1224
TAX-1239	Bacillota	1239
TAX-131221	Streptophytina	131221
TAX-131567	cellular organisms	131567
TAX-1437183	Mesangiospermae	1437183
TAX-1437197	Petrosaviidae	1437197
TAX-147367	Oryzoideae	147367
TAX-147380	Oryzeae	147380
TAX-1648021	Oryzinae	1648021
TAX-1783272	Terrabacteria group	1783272
TAX-1798711	Cyanobacteriota/Melainabacteria group	1798711
TAX-2	Bacteria <bacteria>	2
TAX-2759	Eukaryota	2759
TAX-3193	Embryophyta	3193
TAX-33090	Viridiplantae	33090
TAX-33154	Opisthokonta	33154
TAX-33208	Metazoa	33208
TAX-3398	Magnoliopsida	3398
TAX-35493	Streptophyta	35493
TAX-359160	BOP clade	359160
TAX-38820	Poales	38820
TAX-39947	Oryza sativa	39947
TAX-4447	Liliopsida	4447
TAX-4479	Poaceae	4479
TAX-4527	Oryza	4527
TAX-4530	Oryza sativa	4530
TAX-4734	commelinids	4734
TAX-4751	Fungi	4751
TAX-58023	Tracheophyta	58023
TAX-58024	Spermatophyta	58024
TAX-78536	Euphyllophyta	78536
